DATETIME,Q_G
1988-01-02 15:20:00,138495.5390625
1988-01-02 15:30:00,138983.77734375
1988-01-02 15:40:00,142437.234375
1988-01-02 15:50:00,142876.95703125
1988-01-02 16:00:00,142333.03125
1988-01-02 16:10:00,145270.93359375
1988-01-02 16:20:00,141407.71875
1988-01-02 16:30:00,140947.03125
1988-01-02 16:40:00,141548.8125
1988-01-02 16:50:00,142028.2265625
1988-01-02 17:00:00,140923.86328125
1988-01-02 17:10:00,144767.625
1988-01-02 17:20:00,147778.6171875
1988-01-02 17:30:00,141398.47265625
1988-01-02 17:40:00,144086.2734375
1988-01-02 17:50:00,147095.28515625
1988-01-02 18:00:00,144377.58984375
1988-01-02 18:10:00,139924.4765625
1988-01-02 18:20:00,142446.33984375
1988-01-02 18:30:00,143813.25
1988-01-02 18:40:00,144006.43359375
1988-01-02 18:50:00,140389.11328125
1988-01-02 19:00:00,148422.6796875
1988-01-02 19:10:00,143508.1640625
1988-01-02 19:20:00,143869.1953125
1988-01-02 19:30:00,144382.6875
1988-01-02 19:40:00,142458.84375
1988-01-02 19:50:00,142603.546875
1988-01-02 20:00:00,139435.04296875
1988-01-02 20:10:00,140238.2109375
1988-01-02 20:20:00,142177.27734375
1988-01-02 20:30:00,142043.6484375
1988-01-02 20:40:00,139760.015625
1988-01-02 20:50:00,139748.73046875
1988-01-02 21:00:00,143635.88671875
1988-01-02 21:10:00,141870.50390625
1988-01-02 21:20:00,139999.078125
1988-01-02 21:30:00,136205.63671875
1988-01-02 21:40:00,142170.5625
1988-01-02 21:50:00,140554.3359375
1988-01-02 22:00:00,142062.50390625
1988-01-02 22:10:00,138986.23828125
1988-01-02 22:20:00,140615.58984375
1988-01-02 22:30:00,139778.89453125
1988-01-02 22:40:00,142892.9296875
1988-01-02 22:50:00,139966.3828125
1988-01-02 23:00:00,142794.73828125
1988-01-02 23:10:00,138659.109375
1988-01-02 23:20:00,142452.5625
1988-01-02 23:30:00,141492.4453125
1988-01-02 23:40:00,143755.34765625
1988-01-02 23:50:00,139050.2578125
1988-01-03 00:00:00,139902.29296875
1988-01-03 00:10:00,144157.4296875
1988-01-03 00:20:00,142993.5703125
1988-01-03 00:30:00,143479.72265625
1988-01-03 00:40:00,141034.6171875
1988-01-03 00:50:00,141262.13671875
1988-01-03 01:00:00,140387.5546875
1988-01-03 01:10:00,139068.01171875
1988-01-03 01:20:00,145396.72265625
1988-01-03 01:30:00,140340.78515625
1988-01-03 01:40:00,143030.96484375
1988-01-03 01:50:00,139120.875
1988-01-03 02:00:00,140558.9765625
1988-01-03 02:10:00,142842.5859375
1988-01-03 02:20:00,140737.1953125
1988-01-03 02:30:00,140844.62109375
1988-01-03 02:40:00,137483.21484375
1988-01-03 02:50:00,137897.90625
1988-01-03 03:00:00,142031.05078125
1988-01-03 03:10:00,138080.296875
1988-01-03 03:20:00,139854.38671875
1988-01-03 03:30:00,138379.91015625
1988-01-03 03:40:00,137750.96484375
1988-01-03 03:50:00,134695.8046875
1988-01-03 04:00:00,140439.4453125
1988-01-03 04:10:00,137142.08203125
1988-01-03 04:20:00,142864.27734375
1988-01-03 04:30:00,137635.125
