DATETIME,Q_G
1988-01-18 22:30:00,198896.328
1988-01-18 22:40:00,195900.96
1988-01-18 22:50:00,199646.688
1988-01-18 23:00:00,200062.2
1988-01-18 23:10:00,197984.64
1988-01-18 23:20:00,197494.752
1988-01-18 23:30:00,198976.968
1988-01-18 23:40:00,199795.536
1988-01-18 23:50:00,194952.144
1988-01-19 00:00:00,198034.296
1988-01-19 00:10:00,199907.16
1988-01-19 00:20:00,197507.16
1988-01-19 00:30:00,200353.656
1988-01-19 00:40:00,196595.52
1988-01-19 00:50:00,198850.944
1988-01-19 01:00:00,193618.752
1988-01-19 01:10:00,199832.736
1988-01-19 01:20:00,198840.504
1988-01-19 01:30:00,200448.888
1988-01-19 01:40:00,200018.784
1988-01-19 01:50:00,194549.04
1988-01-19 02:00:00,198480.792
1988-01-19 02:10:00,200530.224
1988-01-19 02:20:00,199745.928
1988-01-19 02:30:00,198871.512
1988-01-19 02:40:00,198214.536
1988-01-19 02:50:00,200093.232
1988-01-19 03:00:00,199814.16
1988-01-19 03:10:00,196366.032
1988-01-19 03:20:00,199026.36
1988-01-19 03:30:00,198431.616
1988-01-19 03:40:00,197587.752
1988-01-19 03:50:00,194499.408
1988-01-19 04:00:00,199383.168
1988-01-19 04:10:00,200459.088
1988-01-19 04:20:00,199628.088
1988-01-19 04:30:00,197345.904
1988-01-19 04:40:00,199201.608
1988-01-19 04:50:00,200142.816
1988-01-19 05:00:00,191305.584
1988-01-19 05:10:00,199659.12
1988-01-19 05:20:00,199460.904
1988-01-19 05:30:00,196806.384
1988-01-19 05:40:00,197866.848
1988-01-19 05:50:00,194393.976
1988-01-19 06:00:00,194741.28
1988-01-19 06:10:00,199758.336
1988-01-19 06:20:00,184818.768
1988-01-19 06:30:00,197662.2
1988-01-19 06:40:00,199863.744
1988-01-19 06:50:00,199516.488
1988-01-19 07:00:00,200694.744
1988-01-19 07:10:00,199419.0
1988-01-19 07:20:00,197724.216
1988-01-19 07:30:00,188905.608
1988-01-19 07:40:00,200607.936
1988-01-19 07:50:00,200545.392
1988-01-19 08:00:00,200865.888
1988-01-19 08:10:00,198208.512
1988-01-19 08:20:00,194245.152
1988-01-19 08:30:00,199056.168
1988-01-19 08:40:00,200694.744
1988-01-19 08:50:00,200539.704
1988-01-19 09:00:00,199773.096
1988-01-19 09:10:00,196223.424
1988-01-19 09:20:00,200955.216
1988-01-19 09:30:00,202728.864
1988-01-19 09:40:00,198024.936
1988-01-19 09:50:00,194952.144
1988-01-19 10:00:00,200911.8
1988-01-19 10:10:00,201370.728
1988-01-19 10:20:00,196006.128
1988-02-08 15:50:00,156291.59999999998
1988-02-08 16:00:00,165085.416
1988-02-08 16:10:00,186263.736
1988-02-08 16:20:00,198778.488
1988-02-08 16:30:00,188969.904
1988-02-08 16:40:00,198995.52
1988-02-08 16:50:00,197935.08
1988-02-08 17:00:00,198015.672
1988-02-08 17:10:00,196624.008
1988-02-08 17:20:00,196868.4
1988-02-08 17:30:00,196124.184
1988-02-08 17:40:00,197383.12800000003
1988-02-08 17:50:00,195685.176
1988-02-08 18:00:00,193730.4
1988-02-08 18:10:00,192539.712
1988-02-08 18:20:00,190626.96
1988-02-08 18:30:00,192000.36
1988-02-08 18:40:00,191950.56
1988-02-08 18:50:00,192992.424
1988-02-08 19:00:00,191724.144
1988-02-08 19:10:00,191448.216
1988-02-08 19:20:00,191491.656
1988-02-08 19:30:00,193166.04
1988-02-08 19:40:00,193248.0
1988-02-08 19:50:00,193296.288
1988-02-08 20:00:00,193339.68
1988-02-08 20:10:00,193587.768
1988-02-08 20:20:00,194252.736
1988-02-08 20:30:00,192967.632
1988-02-08 20:40:00,192731.976
1988-02-08 20:50:00,194065.32
1988-02-08 21:00:00,191677.68
1988-02-08 21:10:00,190468.416
1988-02-08 21:20:00,192000.168
1988-02-08 21:30:00,192843.576
1988-02-08 21:40:00,191299.416
1988-02-08 21:50:00,192514.896
1988-02-08 22:00:00,192434.304
1988-02-08 22:10:00,193686.984
1988-02-08 22:20:00,191442.048
1988-02-08 22:30:00,192570.72
1988-02-08 22:40:00,192570.72
1988-02-08 22:50:00,193414.728
1988-02-08 23:00:00,190970.712
1988-02-08 23:10:00,190468.416
1988-02-08 23:20:00,192682.344
1988-02-08 23:30:00,189584.016
1988-02-08 23:40:00,191411.016
1988-02-08 23:50:00,191869.944
1988-02-09 00:00:00,190921.104
1988-02-09 00:10:00,177726.19199999998
1988-02-09 00:20:00,183435.84
1988-02-09 00:30:00,188490.096
1988-02-09 00:40:00,190162.128
1988-02-09 00:50:00,191214.36
1988-02-09 01:00:00,191001.72
1988-02-09 01:10:00,190766.064
1988-02-09 01:20:00,190989.288
1988-02-09 01:30:00,193011.024
1988-02-09 01:40:00,185928.864
1988-02-09 01:50:00,189755.232
1988-02-09 02:00:00,186658.032
1988-02-09 02:10:00,194493.168
1988-02-09 02:20:00,191435.832
1988-02-09 02:30:00,192700.944
1988-02-09 02:40:00,192327.792
1988-02-09 02:50:00,187386.216
1988-02-09 03:00:00,193919.64
1988-02-09 03:10:00,191894.736
1988-02-09 03:20:00,187020.312
1988-02-09 03:30:00,191876.112
1988-02-09 03:40:00,190425.0
1988-02-09 03:50:00,191603.28
1988-02-09 04:00:00,191101.344
1988-02-09 04:10:00,192211.032
1988-02-09 04:20:00,192291.648
1988-02-09 04:30:00,191590.896
1988-02-09 04:40:00,191696.28
1988-02-09 04:50:00,191461.56
1988-02-09 05:00:00,189147.456
1988-02-09 05:10:00,186679.92
1988-02-09 05:20:00,192012.576
1988-02-09 05:30:00,192638.952
1988-02-09 05:40:00,188359.896
1988-02-09 05:50:00,190245.984
1988-02-09 06:00:00,189699.408
1988-02-09 06:10:00,192310.248
1988-02-09 06:20:00,191739.696
1988-02-09 06:30:00,196972.8
1988-02-09 06:40:00,195249.816
1988-02-09 06:50:00,186480.792
1988-02-09 07:00:00,190691.64
1988-02-09 07:10:00,191115.48
1988-02-09 07:20:00,189941.256
1988-02-09 07:30:00,191100.96
1988-02-09 07:40:00,189149.832
1988-02-09 07:50:00,187193.976
1988-02-09 08:00:00,189066.864
1988-02-09 08:10:00,188645.136
1988-02-09 08:20:00,181417.44
1988-02-09 08:30:00,183572.28
1988-02-18 18:30:00,198790.896
1988-02-18 18:40:00,198114.936
1988-02-18 18:50:00,198530.424
1988-02-18 19:00:00,196282.776
1988-02-18 19:10:00,198319.56
1988-02-18 19:20:00,198226.536
1988-02-18 19:30:00,197135.04
1988-02-18 19:40:00,197476.152
1988-02-18 19:50:00,197141.28
1988-02-18 20:00:00,197649.816
1988-02-18 20:10:00,199100.952
1988-02-18 20:20:00,196322.64
1988-02-18 20:30:00,199324.224
1988-02-18 20:40:00,199020.36
1988-02-18 20:50:00,198054.336
1988-02-18 21:00:00,197835.816
1988-02-18 21:10:00,199590.888
1988-02-18 21:20:00,193637.4
1988-02-18 21:30:00,199238.52
1988-02-18 21:40:00,198443.592
1988-02-18 21:50:00,198412.56
1988-02-18 22:00:00,199857.552
1988-02-18 22:10:00,199671.072
1988-02-18 22:20:00,193829.616
1988-02-18 22:30:00,198034.296
1988-02-18 22:40:00,198391.056
1988-02-18 22:50:00,200217.24
1988-02-18 23:00:00,197017.224
1988-02-18 23:10:00,200415.672
1988-02-18 23:20:00,197851.44
1988-02-18 23:30:00,193550.544
1988-02-18 23:40:00,195231.192
1988-02-18 23:50:00,193426.536
1988-02-19 00:00:00,196559.16
1988-02-19 00:10:00,194362.992
1988-02-19 00:20:00,196880.784
1988-02-19 00:30:00,199355.208
1988-02-19 00:40:00,186505.608
1988-02-19 00:50:00,201234.31200000003
1988-02-19 01:00:00,199584.672
1988-02-19 01:10:00,191206.368
1988-02-19 01:20:00,196849.8
1988-02-19 01:30:00,188421.888
1988-02-19 01:40:00,187274.592
1988-02-19 01:50:00,194238.936
1988-02-19 02:00:00,192688.512
1988-02-19 02:10:00,192434.304
1988-02-19 02:20:00,197544.36
1988-02-19 02:30:00,194226.528
1988-02-19 02:40:00,197618.784
1988-02-19 02:50:00,195094.752
1988-02-19 03:00:00,212502.504
1988-02-19 03:10:00,296510.88
1988-02-19 03:20:00,258629.76
1988-02-19 03:30:00,249085.44
1988-02-19 03:40:00,266946.0
1988-02-19 03:50:00,301869.84
1988-02-19 04:00:00,133730.352
1988-02-19 04:10:00,140459.016
1988-02-19 04:20:00,150951.24
1988-02-19 04:30:00,152104.704
1988-02-19 04:40:00,170617.2
1988-02-19 04:50:00,161314.872
1988-02-19 05:00:00,166393.584
1988-02-19 05:10:00,170096.28
1988-02-19 05:20:00,174431.16
1988-02-19 05:30:00,176539.704
1988-02-19 05:40:00,177720.48
1988-02-19 05:50:00,178145.904
1988-02-19 06:00:00,180800.16
1988-02-19 06:10:00,180992.424
1988-02-19 06:20:00,182694.72
1988-02-19 06:30:00,182642.016
1988-02-19 06:40:00,180446.664
1988-02-19 06:50:00,185308.68
1988-02-19 07:00:00,178251.336
1988-02-19 07:10:00,176682.336
1988-02-19 07:20:00,175869.072
1988-02-19 07:30:00,174759.864
1988-02-19 07:40:00,174604.824
1988-02-19 07:50:00,173414.112
1988-02-19 08:00:00,169974.36000000002
1988-02-19 08:10:00,164899.392
1988-02-19 08:20:00,166759.848
1988-02-19 08:30:00,146705.616
1988-02-19 08:40:00,146071.46399999998
1988-02-19 08:50:00,155238.072
1988-02-19 09:00:00,55166.32800000001
1988-02-19 09:10:00,47615.544
1988-02-19 09:20:00,9252.7224
1988-02-19 09:30:00,511070.16
1988-02-19 09:40:00,1022704.8
1988-02-19 15:10:00,205082.28
1988-02-19 15:20:00,197769.792
1988-02-19 15:30:00,201842.064
1988-02-19 15:40:00,202325.76
1988-02-19 15:50:00,202163.208
1988-02-19 16:00:00,199187.76
1988-02-19 16:10:00,201395.52
1988-02-19 16:20:00,202102.512
1988-02-19 16:30:00,199515.096
1988-02-19 16:40:00,201116.472
1988-02-19 16:50:00,202648.224
1988-02-19 17:00:00,202098.84
1988-02-19 17:10:00,203178.12
1988-02-19 17:20:00,201978.456
1988-02-19 17:30:00,203894.76
1988-02-19 17:40:00,197746.12800000003
1988-02-19 17:50:00,200471.496
1988-02-19 18:00:00,203293.2
1988-02-19 18:10:00,201116.496
1988-02-19 18:20:00,202478.688
1988-02-19 18:30:00,201662.184
1988-02-19 18:40:00,202288.536
1988-02-19 18:50:00,200682.36
1988-02-19 19:00:00,199306.008
1988-02-19 19:10:00,200967.624
1988-02-19 19:20:00,201730.392
1988-02-19 19:30:00,202021.896
1988-02-19 19:40:00,200434.296
1988-02-19 19:50:00,201048.264
1988-02-19 20:00:00,202617.24
1988-03-08 09:10:00,199051.008
1988-03-08 09:20:00,196341.264
1988-03-08 09:30:00,193897.848
1988-03-08 09:40:00,197178.48
1988-03-08 09:50:00,196912.392
1988-03-08 10:00:00,198108.696
1988-03-08 10:10:00,195578.472
1988-03-08 10:20:00,198102.504
1988-03-08 10:30:00,198983.112
1988-03-08 10:40:00,197178.48
1988-03-08 10:50:00,198561.432
1988-03-08 11:00:00,199187.784
1988-03-08 11:10:00,198127.32
1988-03-08 11:20:00,198914.928
1988-03-08 11:30:00,196905.6
1988-03-08 11:40:00,197550.552
1988-03-08 11:50:00,196731.96
1988-03-08 12:00:00,196545.936
1988-03-08 12:10:00,198623.472
1988-03-08 12:20:00,197893.99200000003
1988-03-08 12:30:00,196862.208
1988-03-08 12:40:00,198313.368
1988-03-08 12:50:00,197389.32
1988-03-08 13:00:00,198299.808
1988-03-08 13:10:00,197482.344
1988-03-08 13:20:00,198307.17600000004
1988-03-08 13:30:00,196023.096
1988-03-08 13:40:00,196037.256
1988-03-08 13:50:00,198350.568
1988-03-08 14:00:00,196229.616
1988-03-08 14:10:00,197054.44800000003
1988-03-08 14:20:00,196283.688
1988-03-08 14:30:00,198400.17600000004
1988-03-08 14:40:00,196243.128
1988-03-08 14:50:00,197276.736
1988-03-08 15:00:00,196390.896
1988-03-08 15:10:00,196409.496
1988-03-08 15:20:00,197618.784
1988-03-08 15:30:00,197083.632
1988-03-08 15:40:00,192024.984
1988-03-08 15:50:00,197891.664
1988-03-08 16:00:00,197327.328
1988-03-08 16:10:00,197026.968
1988-03-08 16:20:00,197159.88
1988-03-08 16:30:00,196049.76
1988-03-08 16:40:00,194642.04
1988-03-08 16:50:00,195507.312
1988-03-08 17:00:00,195962.976
1988-03-08 17:10:00,196104.768
1988-03-08 17:20:00,197885.44800000003
1988-03-08 17:30:00,195175.368
1988-03-08 17:40:00,196930.416
1988-03-08 17:50:00,196335.072
1988-03-08 18:00:00,196006.344
1988-03-08 18:10:00,196564.536
1988-03-08 18:20:00,195088.536
1988-03-08 18:30:00,195553.656
1988-03-08 18:40:00,197316.624
1988-03-08 18:50:00,194685.48
1988-03-08 19:00:00,196707.168
1988-03-08 19:10:00,197966.088
1988-03-08 19:20:00,196609.44
1988-03-08 19:30:00,197265.31200000003
1988-03-08 19:40:00,195702.504
1988-03-08 19:50:00,194691.672
1988-03-08 20:00:00,196285.344
1988-03-08 20:10:00,196998.6
1988-03-08 20:20:00,194691.672
1988-03-08 20:30:00,195933.336
1988-03-08 20:40:00,195918.936
1988-03-08 20:50:00,196775.4
1988-03-08 21:00:00,194642.04
1988-03-08 21:10:00,197219.664
1988-03-08 21:20:00,195038.928
1988-03-08 21:30:00,196279.272
1988-03-08 21:40:00,195789.336
1988-03-08 21:50:00,195655.152
1988-03-08 22:00:00,195913.344
1988-03-08 22:10:00,196446.696
1988-03-08 22:20:00,196093.2
1988-03-08 22:30:00,195212.76
1988-03-08 22:40:00,197048.256
1988-03-08 22:50:00,197259.12
1988-03-08 23:00:00,196508.688
1988-03-08 23:10:00,196304.04
1988-03-08 23:20:00,195311.808
1988-03-08 23:30:00,196502.52
1988-03-08 23:40:00,196421.88
1988-03-08 23:50:00,196161.384
1988-03-09 00:00:00,192645.144
1988-03-09 00:10:00,194307.168
1988-03-09 00:20:00,195727.32
1988-03-09 00:30:00,196062.192
